,Window,History,SVD rank,MSE,IIEE,MAE
259,20,5,14,0.019090273979225084,6666058.9599609375,0.0638056328807848
260,20,5,15,0.015056559929784859,4161722.1069335938,0.047365161550259306
261,20,5,16,0.020903054675762922,6521104.1259765625,0.06250366311646247
262,20,5,17,0.016125207876078036,7363610.83984375,0.057372712893242854
263,20,5,18,0.021398110270320403,6163330.078125,0.061209866033269854
264,20,5,19,0.012361937802758271,4773020.935058594,0.04700271091715091
265,20,5,20,0.019238906430913447,5897874.755859375,0.05833022816664519
266,20,7,2,0.04239805364354178,9745923.461914062,0.09820095311967582
267,20,7,3,0.012579832544861625,3031270.751953125,0.04246714892624604
268,20,7,4,0.04083992458205058,6966833.49609375,0.09008817366414004
269,20,7,5,0.013654717556238507,3211281.1279296875,0.04416446792809915
270,20,7,6,0.015651563578485076,2780242.919921875,0.04715818814824296
271,20,7,7,0.015020636164943419,3603781.1279296875,0.0473372309963773
272,20,7,8,0.01081179068164887,2768711.8530273438,0.03811263770703797
273,20,7,9,0.03583093435664657,6735371.7041015625,0.0804257805137813
274,20,7,10,0.01652885364198949,2641503.6010742188,0.046587150257085534
275,20,7,11,0.023904220238655446,5325742.7978515625,0.063193885399016
276,20,7,12,0.012672026877035752,3283354.1870117188,0.04404359474699992
277,20,7,13,0.012566168011973628,3019020.6909179688,0.04256616164449261
278,20,7,14,0.014395488404709524,4322409.66796875,0.049041684631010225
279,20,7,15,0.026711834788563524,8344461.669921875,0.07605350848637586
280,20,7,16,0.06210212371237286,9312545.166015625,0.11069959795084569
281,20,7,17,0.016962619604268033,3396597.2900390625,0.04643769768920703
282,20,7,18,0.018238984584518832,2985263.9770507812,0.047227923228289906
283,20,7,19,0.020151133187850022,7862125.244140625,0.06432394780471748
284,20,7,20,0.027221784631337,7297673.33984375,0.07059049717771584
285,20,10,2,0.03821798558983591,9563371.58203125,0.09483368727996716
286,20,10,3,0.011727536948336982,3235198.0590820312,0.04158286157732079
287,20,10,4,0.07213738403137582,7477902.83203125,0.09017637781400352
288,20,10,5,0.00841741427071887,2288451.385498047,0.030928570751507792
289,20,10,6,0.044250863944656715,9965107.421875,0.10466641419080437
290,20,10,7,0.05784380931240703,10045184.326171875,0.11540096166772144
291,20,10,8,0.01586569861205933,2663902.8930664062,0.04614253719372736
292,20,10,9,0.035968499171228636,9155920.41015625,0.08737758058571676
293,20,10,10,0.03037693189269457,5143735.9619140625,0.06671080879354399
294,20,10,11,0.03934084291955798,7219996.337890625,0.0853045688980631
295,20,10,12,0.022142324304812624,4403885.498046875,0.05794570975176772
296,20,10,13,0.019659652738458586,5570170.2880859375,0.060193011027102096
297,20,10,14,0.014064164734124833,2518062.4389648438,0.04308064727575711
298,20,10,15,0.012184948567803113,2923416.748046875,0.040568984068512316
299,20,10,16,0.01949832056214047,6266034.5458984375,0.06168533507286467
300,20,10,17,0.016036145810591793,2922368.1640625,0.045708468910866676
301,20,10,18,0.016909159969542276,2843534.8510742188,0.04655197646757352
302,20,10,19,0.023442384118204096,4031947.9370117188,0.056797449043766504
303,20,10,20,0.0329624321247903,6653920.2880859375,0.07712357567437397
